severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
11,enhanced_features,default,validation_F1,0.19,Validation,0.1569190600522193,0.6865853658536586,0.23404255319148937,0.5062761506276151,0.3201058201058201,0.6550760216103859,0.23893771130236935,0.24103429101494064,1005,396,118,121,0.14573170731707316,0.3152439024390244,0.8542682926829268,1640
11,enhanced_features,default,fixed_0.5,0.5,Test,0.1569190600522193,0.8490909090909091,0.0,0.0,0.0,0.6709063233662703,0.2493302242035954,0.25112095962380343,1401,0,249,0,0.1509090909090909,0.0,0.8490909090909091,1650
11,enhanced_features,default,validation_F1,0.19,Test,0.1569190600522193,0.6854545454545454,0.22782258064516128,0.4538152610441767,0.30335570469798656,0.6709063233662703,0.2493302242035954,0.25112095962380343,1018,383,136,113,0.1509090909090909,0.3006060606060606,0.8490909090909091,1650
11,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.1569190600522193,0.6213414634146341,0.2166172106824926,0.6108786610878661,0.3198247535596933,0.6593168657175538,0.2354870977082338,0.23756205714280978,873,528,93,146,0.14573170731707316,0.41097560975609754,0.8542682926829268,1640
11,enhanced_features,balanced,validation_F1,0.49,Validation,0.1569190600522193,0.6128048780487805,0.21794871794871795,0.6401673640167364,0.32518597236981933,0.6593168657175538,0.2354870977082338,0.23756205714280978,852,549,86,153,0.14573170731707316,0.42804878048780487,0.8542682926829268,1640
11,enhanced_features,balanced,fixed_0.5,0.5,Test,0.1569190600522193,0.6315151515151515,0.23088455772113944,0.6184738955823293,0.33624454148471616,0.6764044041978048,0.24330391629357379,0.2456034111498107,888,513,95,154,0.1509090909090909,0.40424242424242424,0.8490909090909091,1650
11,enhanced_features,balanced,validation_F1,0.49,Test,0.1569190600522193,0.6187878787878788,0.2346368715083799,0.6746987951807228,0.34818652849740933,0.6764044041978048,0.24330391629357379,0.2456034111498107,853,548,81,168,0.1509090909090909,0.43393939393939396,0.8490909090909091,1650
12,enhanced_features,default,fixed_0.5,0.5,Validation,0.12950391644908615,0.8810975609756098,0.5,0.005128205128205128,0.01015228426395939,0.6436766923964157,0.1944728170793088,0.19703483957767348,1444,1,194,1,0.11890243902439024,0.0012195121951219512,0.8810975609756098,1640
12,enhanced_features,default,validation_F1,0.18,Validation,0.12950391644908615,0.725,0.19523809523809524,0.4205128205128205,0.26666666666666666,0.6436766923964157,0.1944728170793088,0.19703483957767348,1107,338,113,82,0.11890243902439024,0.25609756097560976,0.8810975609756098,1640
12,enhanced_features,default,fixed_0.5,0.5,Test,0.12950391644908615,0.8836363636363637,0.0,0.0,0.0,0.6720607567443987,0.20163458351061686,0.203795888550289,1458,0,192,0,0.11636363636363636,0.0,0.8836363636363637,1650
12,enhanced_features,default,validation_F1,0.18,Test,0.12950391644908615,0.7381818181818182,0.19543147208121828,0.4010416666666667,0.2627986348122867,0.6720607567443987,0.20163458351061686,0.203795888550289,1141,317,115,77,0.11636363636363636,0.2387878787878788,0.8836363636363637,1650
12,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.12950391644908615,0.6201219512195122,0.17771084337349397,0.6051282051282051,0.27473806752037255,0.6490994587880401,0.1927621225331758,0.19489790491484216,899,546,77,118,0.11890243902439024,0.40487804878048783,0.8810975609756098,1640
12,enhanced_features,balanced,validation_F1,0.5,Validation,0.12950391644908615,0.6201219512195122,0.17771084337349397,0.6051282051282051,0.27473806752037255,0.6490994587880401,0.1927621225331758,0.19489790491484216,899,546,77,118,0.11890243902439024,0.40487804878048783,0.8810975609756098,1640
12,enhanced_features,balanced,fixed_0.5,0.5,Test,0.12950391644908615,0.6266666666666667,0.1863905325443787,0.65625,0.2903225806451613,0.6776227423411065,0.1972531103122969,0.19930878337184602,908,550,66,126,0.11636363636363636,0.40969696969696967,0.8836363636363637,1650
